,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
173,EC-Earth3,ssp126,r140i1p1f1,historical,r140i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
174,EC-Earth3,ssp126,r141i1p1f1,historical,r141i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
175,EC-Earth3,ssp126,r142i1p1f1,historical,r142i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
176,EC-Earth3,ssp126,r143i1p1f1,historical,r143i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
177,EC-Earth3,ssp126,r144i1p1f1,historical,r144i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
178,EC-Earth3,ssp126,r145i1p1f1,historical,r145i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
179,EC-Earth3,ssp126,r146i1p1f1,historical,r146i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
180,EC-Earth3,ssp126,r147i1p1f1,historical,r147i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
181,EC-Earth3,ssp126,r148i1p1f1,historical,r148i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
182,EC-Earth3,ssp126,r149i1p1f1,historical,r149i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
183,EC-Earth3,ssp126,r150i1p1f1,historical,r150i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
184,EC-Earth3,ssp126,r15i1p1f1,historical,r1i1p1f1,0.0,0.0,days since 1850-01-01,standard
185,EC-Earth3,ssp126,r1i1p1f1,historical,r1i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
186,EC-Earth3,ssp126,r4i1p1f1,historical,r4i1p1f1,60265.,60265.,days since 1850-01-01,standard
187,EC-Earth3,ssp126,r6i1p1f1,historical,r1i1p1f1,0.0,0.0,days since 1850-01-01,standard
188,EC-Earth3,ssp126,r9i1p1f1,historical,r1i1p1f1,0.0,0.0,days since 1850-01-01,standard
189,EC-Earth3,ssp245,r101i1p1f1,historical,r101i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
190,EC-Earth3,ssp245,r102i1p1f1,historical,r102i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
191,EC-Earth3,ssp245,r103i1p1f1,historical,r103i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
192,EC-Earth3,ssp245,r104i1p1f1,historical,r104i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
193,EC-Earth3,ssp245,r105i1p1f1,historical,r105i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
194,EC-Earth3,ssp245,r106i1p1f1,historical,r106i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
195,EC-Earth3,ssp245,r107i1p1f1,historical,r107i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
196,EC-Earth3,ssp245,r108i1p1f1,historical,r108i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
197,EC-Earth3,ssp245,r109i1p1f1,historical,r109i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
198,EC-Earth3,ssp245,r10i1p1f1,historical,r1i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
199,EC-Earth3,ssp245,r10i1p1f2,historical,r23i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
200,EC-Earth3,ssp245,r110i1p1f1,historical,r110i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
201,EC-Earth3,ssp245,r111i1p1f1,historical,r111i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
202,EC-Earth3,ssp245,r112i1p1f1,historical,r112i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
203,EC-Earth3,ssp245,r113i1p1f1,historical,r113i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
204,EC-Earth3,ssp245,r114i1p1f1,historical,r114i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
205,EC-Earth3,ssp245,r115i1p1f1,historical,r115i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
206,EC-Earth3,ssp245,r116i1p1f1,historical,r116i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
207,EC-Earth3,ssp245,r117i1p1f1,historical,r117i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
208,EC-Earth3,ssp245,r118i1p1f1,historical,r118i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
209,EC-Earth3,ssp245,r119i1p1f1,historical,r119i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
210,EC-Earth3,ssp245,r11i1p1f1,historical,r1i1p1f1,0.0,0.0,days since 1850-01-01,standard
211,EC-Earth3,ssp245,r120i1p1f1,historical,r120i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
212,EC-Earth3,ssp245,r121i1p1f1,historical,r121i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
213,EC-Earth3,ssp245,r122i1p1f1,historical,r122i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
214,EC-Earth3,ssp245,r123i1p1f1,historical,r123i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
215,EC-Earth3,ssp245,r124i1p1f1,historical,r124i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
216,EC-Earth3,ssp245,r125i1p1f1,historical,r125i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
217,EC-Earth3,ssp245,r126i1p1f1,historical,r126i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
218,EC-Earth3,ssp245,r127i1p1f1,historical,r127i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
219,EC-Earth3,ssp245,r128i1p1f1,historical,r128i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
220,EC-Earth3,ssp245,r129i1p1f1,historical,r129i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
